# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 400 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.107857792
# certified in ARB: C_+(28) <= 1.1079   (certificates/cplus_dual_cert.py)
A = 28
T = 7
cell 3634073/1048576 14279/4096 -201981/262144
cell 14279/4096 459609/131072 -37917/131072
cell 459609/131072 3698415/1048576 1
cell 3698415/1048576 1860027/524288 -119185/1048576
cell 1860027/524288 3741789/1048576 -1478135/1048576
cell 3741789/1048576 3763621/1048576 1
cell 3763621/1048576 946387/262144 106761/524288
cell 946387/262144 951893/262144 -227345/524288
cell 951893/262144 957423/262144 -2769/8192
cell 957423/262144 3851909/1048576 -133025/1048576
cell 3851909/1048576 1937111/524288 1
cell 1937111/524288 3896631/1048576 -927385/1048576
cell 3896631/1048576 3919137/1048576 -6933/16384
cell 3919137/1048576 985435/262144 109119/131072
cell 985435/262144 495555/131072 -193105/524288
cell 495555/131072 996809/262144 -60393/131072
cell 996809/262144 4010129/1048576 571507/1048576
cell 4010129/1048576 4033119/1048576 40169/1048576
cell 4033119/1048576 2028103/524288 -851695/1048576
cell 2028103/524288 2039695/524288 109495/524288
cell 2039695/524288 256417/65536 118453/262144
cell 256417/65536 2063025/524288 559/131072
cell 2063025/524288 2074763/524288 -283317/262144
cell 2074763/524288 4173099/1048576 762141/1048576
cell 4173099/1048576 2098385/524288 82603/1048576
cell 2098385/524288 2110269/524288 -69921/524288
cell 2110269/524288 4244403/1048576 -173467/262144
cell 4244403/1048576 4268367/1048576 207031/262144
cell 4268367/1048576 4292427/1048576 -575113/1048576
cell 4292427/1048576 2158293/524288 320375/1048576
cell 2158293/524288 2170421/524288 -507081/1048576
cell 2170421/524288 4365197/1048576 524189/1048576
cell 4365197/1048576 4389649/1048576 -500583/1048576
cell 4389649/1048576 4414199/1048576 184893/524288
cell 4414199/1048576 4438847/1048576 -22153/65536
cell 4438847/1048576 2231797/524288 2859/524288
cell 2231797/524288 2244219/524288 35303/131072
cell 2244219/524288 4513381/1048576 -72753/262144
cell 4513381/1048576 2269211/524288 -18619/1048576
cell 2269211/524288 2281781/524288 -16593/1048576
cell 2281781/524288 17925/4096 52733/131072
cell 17925/4096 4614137/1048576 -142275/262144
cell 4614137/1048576 1159893/262144 151577/1048576
cell 1159893/262144 2332553/524288 87133/262144
cell 2332553/524288 2345369/524288 -15967/32768
cell 2345369/524288 2358235/524288 94921/524288
